Price,Bed,Bath,Sq Ft,Location,Features,State
"$425,000",2 beds,2 baths,"1,548 sq ft","4220 SE 24th Ave, Portland, OR 97202","3,920 sq ft lot, Very walkable",New York
"$290,000",1 bed,1 bath,727 sq ft,"1500 SW Park Ave #119, Portland, OR 97201","$609 HOA, Garage, Walker's paradise",New York
Price not available,Bed information not available,Bath information not available,Square footage not available,Location not available,Features not available,New York
"$1,750,000",4 beds,4 baths,"3,358 sq ft","4550 SW 59th Ave, Portland, OR 97221","9,147 sq ft lot, $118 HOA, 3 garage spots",New York
"$699,000",3 beds,3 baths,"1,672 sq ft","5811 SW Seymour Ct, Portland, OR 97221","8,276 sq ft lot, 2 garage spots, Somewhat walkable",New York
"$619,900",3 beds,2 baths,"1,828 sq ft","7116 SW Canyon Ln, Portland, OR 97225","0.24 acre lot, Garage, Car-dependent",New York
"$575,000",3 beds,3.5 baths,"3,018 sq ft","8320 SE Aspen Summit Dr, Portland, OR 97266",Features not available,New York
"$400,000",3 beds,1 bath,884 sq ft,"2524 NE 84th Ave, Portland, OR 97220",Features not available,New York
"$425,000",1 bed,1 bath,"1,358 sq ft","4121 N Albina Ave, Portland, OR 97217",Features not available,New York
"$169,000",0 beds,1 bath,348 sq ft,"1005 SW Park Ave #501, Portland, OR 97205",Features not available,New York
"$189,000",0 beds,1 bath,348 sq ft,"1005 SW Park Ave #801, Portland, OR 97205",Features not available,New York
"$389,900",2 beds,1 bath,"1,475 sq ft","3607 NE 11th Ave, Portland, OR 97212",Features not available,New York
"$448,888",2 beds,2.5 baths,"1,551 sq ft","16159 NW Centine Ln, Portland, OR 97229",Features not available,New York
"$549,950",2 beds,1 bath,"1,872 sq ft","7234 SE 62nd Ave, Portland, OR 97206",Features not available,New York
"$225,000",1 bed,1 bath,669 sq ft,"1436 NE 21st Ave #23, Portland, OR 97232",Features not available,New York
"$259,000",0 beds,1 bath,640 sq ft,"3601 S River Pkwy #2416, Portland, OR 97239",Features not available,New York
"$649,000",3 beds,2 baths,"1,754 sq ft","19996 NW Metolius Dr, Portland, OR 97229",Features not available,New York
Price not available,Bed information not available,Bath information not available,Square footage not available,Location not available,Features not available,New York
"$499,000",2 beds,2 baths,"2,049 sq ft","2347 NE 152nd Pl, Portland, OR 97230",Features not available,New York
"$725,000",3 beds,2 baths,"1,001 sq ft","14125 SE Division St, Portland, OR 97236",Features not available,New York
"$315,000",0 beds,1 bath,559 sq ft,"1221 SW 10th Ave, Portland, OR 97205",Features not available,New York
"$699,000",4 beds,3 baths,"2,389 sq ft","4185 NW 176th Ave, Portland, OR 97229",Features not available,New York
"$229,900",1 bed,1 bath,626 sq ft,"1920 NW 143rd Ave #40, Portland, OR 97229",Features not available,New York
"$630,000",4 beds,2 baths,"2,072 sq ft","2103 SE Stark St, Portland, OR 97214",Features not available,New York
"$624,900",5 beds,3 baths,"2,849 sq ft","15433 SE Henderson Way, Portland, OR 97236",Features not available,New York
"$535,000",3 beds,2 baths,"1,768 sq ft","2910 NW Kennedy Ct, Portland, OR 97229",Features not available,New York
"$425,000",2 beds,1 bath,"1,762 sq ft","1734 N Dekum St, Portland, OR 97217",Features not available,New York
Price not available,Bed information not available,Bath information not available,Square footage not available,Location not available,Features not available,New York
"$575,000",3 beds,2 baths,"1,474 sq ft","12619 SE 26th Ave, Milwaukie, OR 97222",Features not available,New York
"$299,900",3 beds,1 bath,891 sq ft,"5703 SE Liebe St, Portland, OR 97206",Features not available,New York
"$1,375,000",6 beds,3.5 baths,"3,142 sq ft","4222 NE Glisan St, Portland, OR 97213",Features not available,New York
"$820,000",5 beds,3.5 baths,"4,789 sq ft","8243 SE Pineridge Ct, Portland, OR 97236",Features not available,New York
"$899,900",4 beds,3 baths,"2,231 sq ft","3506 SE Insley St, Portland, OR 97202",Features not available,New York
"$1,150,000",4 beds,4 baths,"4,756 sq ft","2122 NW Everett St, Portland, OR 97210",Features not available,New York
"$275,000",1 bed,1 bath,553 sq ft,"5405 NE 10th Ave #8, Portland, OR 97211",Features not available,New York
"$199,900",1 bed,1 bath,858 sq ft,"245 N Hayden Bay Dr, Portland, OR 97217",Features not available,New York
"$674,900",8 beds,4 baths,"2,706 sq ft","5039 SE Briar Ct, Milwaukie, OR 97267",Features not available,New York
"$429,000",2 beds,1 bath,"1,176 sq ft","333 NW 9th Ave #416, Portland, OR 97209",Features not available,New York
"$365,000",2 beds,1 bath,672 sq ft,"8030 SE Cora St, Portland, OR 97206",Features not available,New York
"$410,000",2 beds,1 bath,794 sq ft,"7205 N Greenwich Ave, Portland, OR 97217",Features not available,New York
"$345,000",1 bed,1 bath,895 sq ft,"333 NW 9th Ave #902, Portland, OR 97209",Features not available,New York
"$634,900",3 beds,2 baths,"2,396 sq ft","13307 SE Briggs St, Milwaukie, OR 97222",Features not available,New York
"$674,900",6 beds,2 baths,"2,234 sq ft","13001 SE Claybourne St, Portland, OR 97236",Features not available,New York
"$425,000",2 beds,2 baths,"1,548 sq ft","4220 SE 24th Ave, Portland, OR 97202","3,920 sq ft lot, Very walkable",New York
"$290,000",1 bed,1 bath,727 sq ft,"1500 SW Park Ave #119, Portland, OR 97201","$609 HOA, Garage, Walker's paradise",New York
Price not available,Bed information not available,Bath information not available,Square footage not available,Location not available,Features not available,New York
"$1,750,000",4 beds,4 baths,"3,358 sq ft","4550 SW 59th Ave, Portland, OR 97221","9,147 sq ft lot, $118 HOA, 3 garage spots",New York
"$699,000",3 beds,3 baths,"1,672 sq ft","5811 SW Seymour Ct, Portland, OR 97221","8,276 sq ft lot, 2 garage spots, Somewhat walkable",New York
"$619,900",3 beds,2 baths,"1,828 sq ft","7116 SW Canyon Ln, Portland, OR 97225","0.24 acre lot, Garage, Car-dependent",New York
"$575,000",3 beds,3.5 baths,"3,018 sq ft","8320 SE Aspen Summit Dr, Portland, OR 97266",Features not available,New York
"$400,000",3 beds,1 bath,884 sq ft,"2524 NE 84th Ave, Portland, OR 97220",Features not available,New York
"$425,000",1 bed,1 bath,"1,358 sq ft","4121 N Albina Ave, Portland, OR 97217",Features not available,New York
"$169,000",0 beds,1 bath,348 sq ft,"1005 SW Park Ave #501, Portland, OR 97205",Features not available,New York
"$189,000",0 beds,1 bath,348 sq ft,"1005 SW Park Ave #801, Portland, OR 97205",Features not available,New York
"$389,900",2 beds,1 bath,"1,475 sq ft","3607 NE 11th Ave, Portland, OR 97212",Features not available,New York
"$448,888",2 beds,2.5 baths,"1,551 sq ft","16159 NW Centine Ln, Portland, OR 97229",Features not available,New York
"$549,950",2 beds,1 bath,"1,872 sq ft","7234 SE 62nd Ave, Portland, OR 97206",Features not available,New York
"$225,000",1 bed,1 bath,669 sq ft,"1436 NE 21st Ave #23, Portland, OR 97232",Features not available,New York
"$259,000",0 beds,1 bath,640 sq ft,"3601 S River Pkwy #2416, Portland, OR 97239",Features not available,New York
"$649,000",3 beds,2 baths,"1,754 sq ft","19996 NW Metolius Dr, Portland, OR 97229",Features not available,New York
Price not available,Bed information not available,Bath information not available,Square footage not available,Location not available,Features not available,New York
"$499,000",2 beds,2 baths,"2,049 sq ft","2347 NE 152nd Pl, Portland, OR 97230",Features not available,New York
"$725,000",3 beds,2 baths,"1,001 sq ft","14125 SE Division St, Portland, OR 97236",Features not available,New York
"$315,000",0 beds,1 bath,559 sq ft,"1221 SW 10th Ave, Portland, OR 97205",Features not available,New York
"$699,000",4 beds,3 baths,"2,389 sq ft","4185 NW 176th Ave, Portland, OR 97229",Features not available,New York
"$229,900",1 bed,1 bath,626 sq ft,"1920 NW 143rd Ave #40, Portland, OR 97229",Features not available,New York
"$630,000",4 beds,2 baths,"2,072 sq ft","2103 SE Stark St, Portland, OR 97214",Features not available,New York
"$624,900",5 beds,3 baths,"2,849 sq ft","15433 SE Henderson Way, Portland, OR 97236",Features not available,New York
"$535,000",3 beds,2 baths,"1,768 sq ft","2910 NW Kennedy Ct, Portland, OR 97229",Features not available,New York
"$425,000",2 beds,1 bath,"1,762 sq ft","1734 N Dekum St, Portland, OR 97217",Features not available,New York
Price not available,Bed information not available,Bath information not available,Square footage not available,Location not available,Features not available,New York
"$575,000",3 beds,2 baths,"1,474 sq ft","12619 SE 26th Ave, Milwaukie, OR 97222",Features not available,New York
"$299,900",3 beds,1 bath,891 sq ft,"5703 SE Liebe St, Portland, OR 97206",Features not available,New York
"$1,375,000",6 beds,3.5 baths,"3,142 sq ft","4222 NE Glisan St, Portland, OR 97213",Features not available,New York
"$820,000",5 beds,3.5 baths,"4,789 sq ft","8243 SE Pineridge Ct, Portland, OR 97236",Features not available,New York
"$899,900",4 beds,3 baths,"2,231 sq ft","3506 SE Insley St, Portland, OR 97202",Features not available,New York
